old_id,old_title,old_web,old_image,old_source,old_city,coverage,match_status,match_score,new_id,new_title,new_web
580,Hollywood Social Group House Parties,http://www.hollywood4singles.com,/images/hollywoodSocialClub.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\archivefile\advertisers\hollywood_social_group_house_par.htm,,possible_old_only,unmatched,0.531,,,
581,"QUOTE OF THE WEEK ""Analogies",,/images/Logos_18to31_460.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\archivefile\whats_on\whatson_jan06.htm,,possible_old_only,unmatched,0.582,,,
583,Blush,http://www.blushbody.com.au,/images/blush_156x90.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\Customer page links\quotes\blush.htm,,drop:archive_or_admin_source,unmatched,0.533,,,
584,Southern Exposure,http://www.southernexposure.com.au,/images/southernexposure.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:105,Melbourne,covered,matched_domain,1,427,Southern Exposure,southernexposure.com.au
585,Patterson's Matchmakers,http://www.pattersonsmatchmakers.com.au,/images/_160x102.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\mature_dating_events.htm,,covered,matched_domain,1,332,Patterson's Matchmakers,pattersonsmatchmakers.com.au
587,Round Table Six Sydney & Newcastle Great Offer for NEW MEMBERS 6 month membership special @ $60 for new members in Newcastle and surrounding areas (fo,,,D:\Projects\Clients\Dad\Events4singles\legacy\site\emag\emag-october06.htm,,drop:no_contact_or_image,unmatched,0.417,,,
588,Asian Western Matchmaker,http://www.asianwesternmatchmaker.com.au,/images/melbournematchmaker.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:68,Melbourne,covered,matched_title,1,35,Asian Western Matchmaker,asianwesternmatchmaker.com
589,Lets Get Together,http://www.letsgettogether.com.au,/images/letseattogether_ani_120x80.gif,F:\Work\Websites\Frontpage Sites\events4singles\events_newcastle.htm,Newcastle,possible_old_only,unmatched,0.732,,,
590,Christian Connections,http://www.ChristianConnections.net,/images/christian_connections.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\archivefile\advertisers\christian_connections.htm,,covered,matched_fuzzy_title,0.976,719,Christian Connection,christianconnection.com/melbourne
591,Spark Dating,http://www.sparkdate.com.au,/images/Sydney-Dating.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:49,Melbourne,covered,matched_title,1,648,Spark Dating,
592,Adelaide River Queen Cruises,http://www.jumpingcrocodilecruises.com.au,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:90,Darwin,covered,matched_domain,1,18,Adelaide River Queen Cruises,jumpingcrocodilecruises.com.au
593,Stuart Mitchell,http://www.collectiveintelligence.net.au,/images/stuartmt.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\life_coaches_brisbane.htm,Brisbane,covered,matched_domain,1,439,Stuart Mitchell,collectiveintelligence.net.au
594,Cheek to Cheek Dance Studio,http://www.dendi.com.au/,/images/cheekds_170x88.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:470,Sydney,covered,matched_title,1,81,Cheek to Cheek Dance Studio,dendi.com.au | dendi.com.au/chlink.htm
595,The Love Doctor,http://www.janedonovan.com.au/,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:148,,covered,matched_title,1,669,The Love Doctor,
596,"Fun, Food and Friendship is Melbournes best and liveliest social activities club",http://www.funff.com.au,/images/fff_120x80.jpg,F:\Work\Websites\Frontpage Sites\events4singles\walks4singles.htm,,covered,matched_domain,1,739,"Fun Friends, Social & Singles",funff.com.au
597,Artemis,http://www.artemis.com.au/,/images/clip_image004_0000.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:106,Brisbane,covered,matched_domain,1,29,Artemis,artemis.com.au
598,Party at the Pub,http://www.partyatthepub.com.au,/images/partyatthepub_an_160x90.gif,F:\Work\Websites\Frontpage Sites\events4singles\social_clubs_newcastle.htm,Newcastle,possible_old_only,unmatched,0.533,,,
